Reading,Receive,Value,Unit,Data Quality
2018-03-22 11:13:46,2018-03-22 11:14:06,0.01,in,A
2018-03-22 11:12:14,2018-03-22 11:12:25,0.01,in,A
2018-03-22 11:09:48,2018-03-22 11:10:05,0.01,in,A
2018-03-22 11:08:27,2018-03-22 11:08:45,0.01,in,A
2018-03-22 11:06:18,2018-03-22 11:06:27,0.01,in,A
2018-03-22 11:05:13,2018-03-22 11:05:25,0.01,in,A
2018-03-22 11:04:22,2018-03-22 11:04:25,0.01,in,A
2018-03-22 11:02:53,2018-03-22 11:03:06,0.01,in,A
2018-03-22 11:02:02,2018-03-22 11:02:06,0.01,in,A
2018-03-22 10:59:57,2018-03-22 11:00:06,0.01,in,A
2018-03-22 10:58:05,2018-03-22 10:58:25,0.01,in,A
2018-03-22 10:55:55,2018-03-22 10:56:06,0.01,in,A
2018-03-22 10:52:37,2018-03-22 10:52:46,0.01,in,A
2018-03-22 10:47:46,2018-03-22 10:48:05,0.01,in,A
2018-03-22 10:46:14,2018-03-22 10:46:25,0.01,in,A
2018-03-22 10:44:07,2018-03-22 10:44:26,0.01,in,A
2018-03-22 10:43:08,2018-03-22 10:43:26,0.01,in,A
2018-03-22 10:41:57,2018-03-22 10:42:07,0.02,in,A
2018-03-22 10:38:40,2018-03-22 10:38:46,0.01,in,A
2018-03-22 10:36:27,2018-03-22 10:36:45,0.01,in,A
2018-03-22 10:29:46,2018-03-22 10:30:07,0.01,in,A
2018-03-22 10:25:37,2018-03-22 10:25:45,0.01,in,A
2018-03-22 10:24:10,2018-03-22 10:24:26,0.01,in,A
2018-03-22 10:21:34,2018-03-22 10:21:45,0.01,in,A
2018-03-22 10:20:58,2018-03-22 10:21:06,0.01,in,A
2018-03-22 10:17:27,2018-03-22 10:17:46,0.01,in,A
2018-03-22 10:14:59,2018-03-22 10:15:06,0.01,in,A
2018-03-22 10:12:16,2018-03-22 10:12:26,0.01,in,A
2018-03-22 10:10:52,2018-03-22 10:11:06,0.01,in,A
2018-03-22 10:07:37,2018-03-22 10:07:47,0.01,in,A
2018-03-22 10:06:03,2018-03-22 10:06:26,0.01,in,A
2018-03-22 10:04:07,2018-03-22 10:04:25,0.01,in,A
2018-03-22 10:01:32,2018-03-22 10:01:45,0.01,in,A
2018-03-22 10:00:34,2018-03-22 10:00:46,0.01,in,A
2018-03-22 09:58:41,2018-03-22 09:58:46,0.01,in,A
2018-03-22 09:57:46,2018-03-22 09:58:06,0.02,in,A
2018-03-22 09:54:35,2018-03-22 09:54:46,0.01,in,A
2018-03-22 09:53:04,2018-03-22 09:53:26,0.01,in,A
2018-03-22 09:52:09,2018-03-22 09:52:26,0.01,in,A
2018-03-22 09:50:57,2018-03-22 09:51:06,0.01,in,A
2018-03-22 09:50:13,2018-03-22 09:50:26,0.01,in,A
2018-03-22 09:48:50,2018-03-22 09:49:05,0.01,in,A
2018-03-22 09:48:18,2018-03-22 09:48:25,0.01,in,A
2018-03-22 09:47:41,2018-03-22 09:47:46,0.01,in,A
2018-03-22 09:46:51,2018-03-22 09:47:07,0.01,in,A
2018-03-22 09:46:21,2018-03-22 09:46:25,0.01,in,A
2018-03-22 09:45:39,2018-03-22 09:45:46,0.01,in,A
2018-03-22 09:45:13,2018-03-22 09:45:26,0.01,in,A
2018-03-22 09:44:04,2018-03-22 09:44:26,0.01,in,A
2018-03-22 09:43:41,2018-03-22 09:43:46,0.01,in,A
2018-03-22 09:43:15,2018-03-22 09:43:25,0.01,in,A
2018-03-22 09:42:39,2018-03-22 09:42:45,0.01,in,A
2018-03-22 09:42:16,2018-03-22 09:42:26,0.01,in,A
2018-03-22 09:41:40,2018-03-22 09:41:45,0.01,in,A
2018-03-22 09:41:06,2018-03-22 09:41:25,0.01,in,A
2018-03-22 09:40:49,2018-03-22 09:41:07,0.01,in,A
2018-03-22 09:40:28,2018-03-22 09:40:45,0.01,in,A
2018-03-22 09:39:54,2018-03-22 09:40:06,0.01,in,A
2018-03-22 09:39:31,2018-03-22 09:39:46,0.01,in,A
2018-03-22 09:39:07,2018-03-22 09:39:26,0.01,in,A
2018-03-22 09:38:47,2018-03-22 09:39:05,0.01,in,A
2018-03-22 09:38:28,2018-03-22 09:38:45,0.01,in,A
2018-03-22 09:38:06,2018-03-22 09:38:26,0.01,in,A
2018-03-22 09:37:44,2018-03-22 09:38:05,0.02,in,A
2018-03-22 09:36:51,2018-03-22 09:37:05,0.01,in,A
2018-03-22 09:36:11,2018-03-22 09:36:25,0.01,in,A
2018-03-22 09:35:46,2018-03-22 09:36:05,0.01,in,A
2018-03-22 09:35:23,2018-03-22 09:35:45,0.01,in,A
2018-03-22 09:33:54,2018-03-22 09:34:05,0.01,in,A
2018-03-22 09:33:14,2018-03-22 09:33:25,0.01,in,A
2018-03-22 09:32:06,2018-03-22 09:32:26,0.01,in,A
2018-03-22 09:31:03,2018-03-22 09:31:25,0.01,in,A
2018-03-22 09:30:23,2018-03-22 09:30:45,0.01,in,A
2018-03-22 09:29:56,2018-03-22 09:30:06,0.01,in,A
2018-03-22 09:29:26,2018-03-22 09:29:45,0.01,in,A
2018-03-22 09:28:38,2018-03-22 09:28:46,0.01,in,A
2018-03-22 09:28:18,2018-03-22 09:28:25,0.01,in,A
2018-03-22 09:26:43,2018-03-22 09:27:05,0.01,in,A
2018-03-22 09:26:03,2018-03-22 09:26:25,0.01,in,A
2018-03-22 09:24:04,2018-03-22 09:24:25,0.01,in,A
2018-03-22 09:22:50,2018-03-22 09:23:06,0.01,in,A
2018-03-22 08:34:50,2018-03-22 08:35:05,0.01,in,A
2018-03-22 08:32:31,2018-03-22 08:32:46,0.01,in,A
2018-03-22 08:28:51,2018-03-22 08:29:05,0.01,in,A
2018-03-22 08:23:17,2018-03-22 08:23:25,0.01,in,A
2018-03-22 08:17:39,2018-03-22 08:17:46,0.01,in,A
2018-03-22 08:09:25,2018-03-22 08:09:46,0.01,in,A
2018-03-22 08:04:21,2018-03-22 08:04:26,0.01,in,A
2018-03-22 07:47:57,2018-03-22 07:48:05,0.01,in,A
2018-03-22 07:39:01,2018-03-22 07:39:07,0.01,in,A
2018-03-22 07:35:28,2018-03-22 07:35:45,0.01,in,A
2018-03-22 07:31:42,2018-03-22 07:31:45,0.01,in,A
2018-03-22 07:30:28,2018-03-22 07:30:45,0.01,in,A
2018-03-22 07:27:08,2018-03-22 07:27:25,0.01,in,A
2018-03-22 07:24:20,2018-03-22 07:24:26,0.01,in,A
2018-03-22 07:10:37,2018-03-22 07:10:45,0.01,in,A
2018-03-22 06:57:03,2018-03-22 06:57:25,0.01,in,A
2018-03-22 06:52:06,2018-03-22 06:52:26,0.01,in,A
2018-03-22 06:44:44,2018-03-22 06:45:05,0.01,in,A
2018-03-22 06:36:54,2018-03-22 06:37:05,0.01,in,A
2018-03-22 06:35:17,2018-03-22 06:35:26,0.01,in,A
2018-03-22 06:31:47,2018-03-22 06:32:06,0.01,in,A
2018-03-22 06:26:57,2018-03-22 06:27:07,0.01,in,A
2018-03-22 06:24:20,2018-03-22 06:24:25,0.01,in,A
2018-03-22 06:22:14,2018-03-22 06:22:25,0.01,in,A
2018-03-22 06:18:39,2018-03-22 06:18:46,0.01,in,A
2018-03-22 06:16:49,2018-03-22 06:17:06,0.01,in,A
2018-03-22 06:12:53,2018-03-22 06:13:06,0.01,in,A
2018-03-22 06:03:33,2018-03-22 06:03:46,0.04,in,A
2018-03-22 04:52:04,2018-03-22 04:52:26,0.01,in,A
2018-03-22 04:40:06,2018-03-22 04:40:25,0.02,in,A
2018-03-22 04:25:41,2018-03-22 04:25:45,0.01,in,A
2018-03-22 04:22:32,2018-03-22 04:22:45,0.01,in,A
2018-03-22 04:17:06,2018-03-22 04:17:26,0.01,in,A
2018-03-22 04:10:34,2018-03-22 04:10:45,0.01,in,A
2018-03-22 03:56:56,2018-03-22 03:57:05,0.02,in,A
2018-03-22 02:43:15,2018-03-22 02:43:25,0.00,in,A
2018-03-21 23:40:12,2018-03-21 23:40:25,0.01,in,A
2018-03-21 23:26:35,2018-03-21 23:26:45,0.02,in,A
2018-03-21 23:22:01,2018-03-21 23:22:05,0.01,in,A
2018-03-21 23:15:16,2018-03-21 23:15:25,0.01,in,A
2018-03-21 23:10:24,2018-03-21 23:10:45,0.02,in,A
2018-03-21 22:55:18,2018-03-21 22:55:25,0.01,in,A
2018-03-21 22:48:29,2018-03-21 22:48:45,0.01,in,A
2018-03-21 22:31:37,2018-03-21 22:31:45,0.01,in,A
2018-03-21 21:46:14,2018-03-21 21:46:25,0.01,in,A
2018-03-21 19:44:30,2018-03-21 19:44:45,0.02,in,A
2018-03-21 19:09:48,2018-03-21 19:10:05,0.01,in,A
2018-03-21 18:53:50,2018-03-21 18:54:06,0.03,in,A
2018-03-21 18:38:53,2018-03-21 18:39:06,0.01,in,A
2018-03-21 18:35:45,2018-03-21 18:36:06,0.01,in,A
2018-03-21 18:33:11,2018-03-21 18:33:25,0.01,in,A
2018-03-21 18:22:57,2018-03-21 18:23:05,0.01,in,A
2018-03-21 18:03:37,2018-03-21 18:03:45,0.01,in,A
2018-03-21 17:45:52,2018-03-21 17:46:06,0.01,in,A
2018-03-21 17:40:43,2018-03-21 17:41:05,0.01,in,A
2018-03-21 17:32:33,2018-03-21 17:32:45,0.01,in,A
2018-03-21 17:27:36,2018-03-21 17:27:45,0.02,in,A
2018-03-21 17:21:53,2018-03-21 17:22:05,0.02,in,A
2018-03-21 17:13:27,2018-03-21 17:13:46,0.02,in,A
2018-03-21 16:59:36,2018-03-21 16:59:45,0.01,in,A
2018-03-21 16:58:41,2018-03-21 16:58:45,0.01,in,A
2018-03-21 16:43:16,2018-03-21 16:43:25,0.01,in,A
2018-03-21 16:34:05,2018-03-21 16:34:27,0.01,in,A
2018-03-21 16:29:05,2018-03-21 16:29:25,0.01,in,A
2018-03-21 16:12:27,2018-03-21 16:12:45,0.02,in,A
2018-03-21 15:40:04,2018-03-21 15:40:25,0.01,in,A
2018-03-21 15:31:38,2018-03-21 15:31:45,0.01,in,A
2018-03-21 15:16:45,2018-03-21 15:17:05,0.01,in,A
2018-03-21 15:14:25,2018-03-21 15:14:45,0.01,in,A
2018-03-21 15:05:26,2018-03-21 15:05:46,0.01,in,A
2018-03-21 14:51:27,2018-03-21 14:51:45,0.01,in,A
2018-03-21 14:45:56,2018-03-21 14:46:06,0.01,in,A
2018-03-21 14:43:15,2018-03-21 14:43:25,0.00,in,A
2018-03-21 14:34:01,2018-03-21 14:34:05,0.01,in,A
2018-03-21 14:21:48,2018-03-21 14:22:05,0.01,in,A
2018-03-21 14:12:06,2018-03-21 14:12:25,0.01,in,A
2018-03-21 14:07:06,2018-03-21 14:07:26,0.01,in,A
2018-03-21 14:00:47,2018-03-21 14:01:05,0.01,in,A
2018-03-21 13:56:41,2018-03-21 13:56:45,0.01,in,A
2018-03-21 13:20:06,2018-03-21 13:20:25,0.01,in,A
2018-03-21 13:04:12,2018-03-21 13:04:25,0.01,in,A
2018-03-21 12:49:53,2018-03-21 12:50:05,0.01,in,A
2018-03-21 12:21:30,2018-03-21 12:21:46,0.01,in,A
2018-03-21 11:58:36,2018-03-21 11:58:45,0.01,in,A
2018-03-21 11:49:31,2018-03-21 11:49:45,0.01,in,A
2018-03-21 11:47:23,2018-03-21 11:47:46,0.01,in,A
2018-03-21 11:41:51,2018-03-21 11:42:06,0.01,in,A
2018-03-21 11:39:34,2018-03-21 11:39:45,0.01,in,A
2018-03-21 11:37:08,2018-03-21 11:37:26,0.02,in,A
2018-03-21 11:34:15,2018-03-21 11:34:26,0.01,in,A
2018-03-21 11:33:58,2018-03-21 11:34:06,0.01,in,A
2018-03-21 11:32:26,2018-03-21 11:32:46,0.01,in,A
2018-03-21 11:28:47,2018-03-21 11:29:06,0.01,in,A
2018-03-21 11:24:49,2018-03-21 11:25:06,0.02,in,A
2018-03-21 11:11:41,2018-03-21 11:11:46,0.01,in,A
2018-03-21 11:08:12,2018-03-21 11:08:26,0.01,in,A
2018-03-21 11:01:47,2018-03-21 11:02:05,0.01,in,A
2018-03-21 11:00:18,2018-03-21 11:00:25,0.01,in,A
2018-03-21 10:58:11,2018-03-21 10:58:25,0.01,in,A
2018-03-21 10:55:38,2018-03-21 10:55:45,0.01,in,A
2018-03-21 10:45:06,2018-03-21 10:45:26,0.01,in,A
2018-03-21 10:36:44,2018-03-21 10:37:06,0.01,in,A
2018-03-21 10:32:38,2018-03-21 10:32:46,0.01,in,A
2018-03-21 10:26:47,2018-03-21 10:27:05,0.01,in,A
2018-03-21 10:22:23,2018-03-21 10:22:45,0.01,in,A
2018-03-21 10:20:00,2018-03-21 10:20:05,0.01,in,A
2018-03-21 10:17:11,2018-03-21 10:17:26,0.01,in,A
2018-03-21 10:15:51,2018-03-21 10:16:06,0.01,in,A
2018-03-21 10:14:07,2018-03-21 10:14:25,0.01,in,A
2018-03-21 10:13:03,2018-03-21 10:13:25,0.01,in,A
2018-03-21 10:11:02,2018-03-21 10:11:06,0.01,in,A
2018-03-21 10:10:12,2018-03-21 10:10:26,0.01,in,A
2018-03-21 10:09:02,2018-03-21 10:09:06,0.01,in,A
2018-03-21 10:07:54,2018-03-21 10:08:05,0.01,in,A
2018-03-21 10:03:11,2018-03-21 10:03:26,0.01,in,A
2018-03-21 10:01:03,2018-03-21 10:01:28,0.01,in,A
2018-03-21 09:55:46,2018-03-21 09:56:05,0.01,in,A
2018-03-21 09:52:50,2018-03-21 09:53:07,0.02,in,A
2018-03-21 09:45:27,2018-03-21 09:45:46,0.01,in,A
2018-03-21 09:43:48,2018-03-21 09:44:05,0.01,in,A
2018-03-21 09:39:23,2018-03-21 09:39:45,0.01,in,A
2018-03-21 09:21:30,2018-03-21 09:21:46,0.02,in,A
2018-03-21 09:06:34,2018-03-21 09:06:46,0.01,in,A
2018-03-21 09:03:04,2018-03-21 09:03:26,0.01,in,A
2018-03-21 08:59:34,2018-03-21 08:59:45,0.01,in,A
2018-03-21 08:57:51,2018-03-21 08:58:06,0.02,in,A
2018-03-21 08:54:33,2018-03-21 08:54:46,0.01,in,A
2018-03-21 08:52:48,2018-03-21 08:53:07,0.01,in,A
2018-03-21 08:51:51,2018-03-21 08:52:07,0.02,in,A
2018-03-21 08:50:47,2018-03-21 08:51:06,0.01,in,A
2018-03-21 08:49:48,2018-03-21 08:50:07,0.01,in,A
2018-03-21 08:49:19,2018-03-21 08:49:27,0.02,in,A
2018-03-21 08:47:56,2018-03-21 08:48:07,0.01,in,A
2018-03-21 08:46:46,2018-03-21 08:47:07,0.01,in,A
2018-03-21 08:45:51,2018-03-21 08:46:07,0.01,in,A
2018-03-21 08:44:26,2018-03-21 08:44:46,0.01,in,A
2018-03-21 08:43:28,2018-03-21 08:43:47,0.02,in,A
2018-03-21 08:41:18,2018-03-21 08:41:27,0.01,in,A
2018-03-21 08:40:37,2018-03-21 08:40:47,0.01,in,A
2018-03-21 08:39:17,2018-03-21 08:39:27,0.01,in,A
2018-03-21 08:38:39,2018-03-21 08:38:46,0.01,in,A
2018-03-21 08:37:11,2018-03-21 08:37:29,0.02,in,A
2018-03-21 08:34:51,2018-03-21 08:35:07,0.02,in,A
2018-03-21 08:32:55,2018-03-21 08:33:06,0.01,in,A
2018-03-21 08:32:01,2018-03-21 08:32:07,0.01,in,A
2018-03-21 08:30:31,2018-03-21 08:30:47,0.03,in,A
2018-03-21 08:24:43,2018-03-21 08:25:07,0.01,in,A
2018-03-21 08:23:09,2018-03-21 08:23:26,0.01,in,A
2018-03-21 08:20:10,2018-03-21 08:20:26,0.01,in,A
2018-03-21 08:16:06,2018-03-21 08:16:26,0.01,in,A
2018-03-21 08:13:43,2018-03-21 08:14:06,0.01,in,A
2018-03-21 08:09:22,2018-03-21 08:09:27,0.01,in,A
2018-03-21 08:07:23,2018-03-21 08:07:46,0.01,in,A
2018-03-21 08:02:34,2018-03-21 08:02:46,0.01,in,A
2018-03-21 07:29:14,2018-03-21 07:29:25,0.01,in,A
2018-03-21 07:17:20,2018-03-21 07:17:26,0.01,in,A
2018-03-21 07:09:46,2018-03-21 07:10:05,0.01,in,A
2018-03-21 07:03:14,2018-03-21 07:03:25,0.01,in,A
2018-03-21 06:52:24,2018-03-21 06:52:45,0.01,in,A
2018-03-21 06:44:42,2018-03-21 06:44:46,0.03,in,A
2018-03-21 06:35:04,2018-03-21 06:35:25,0.01,in,A
2018-03-21 06:34:20,2018-03-21 06:34:25,0.01,in,A
2018-03-21 06:33:20,2018-03-21 06:33:25,0.02,in,A
2018-03-21 06:32:12,2018-03-21 06:32:25,0.01,in,A
2018-03-21 06:31:22,2018-03-21 06:31:25,0.01,in,A
2018-03-21 06:29:39,2018-03-21 06:29:45,0.01,in,A
2018-03-21 06:26:42,2018-03-21 06:26:46,0.01,in,A
2018-03-21 06:23:05,2018-03-21 06:23:25,0.01,in,A
2018-03-21 06:10:20,2018-03-21 06:10:25,0.01,in,A
2018-03-21 05:58:08,2018-03-21 05:58:25,0.01,in,A
2018-03-21 05:49:51,2018-03-21 05:50:05,0.02,in,A
2018-03-21 05:44:16,2018-03-21 05:44:25,0.01,in,A
2018-03-21 05:43:30,2018-03-21 05:43:46,0.01,in,A
2018-03-21 05:42:17,2018-03-21 05:42:26,0.01,in,A
2018-03-21 05:38:35,2018-03-21 05:38:45,0.01,in,A
2018-03-21 05:37:13,2018-03-21 05:37:25,0.01,in,A
2018-03-21 05:34:58,2018-03-21 05:35:05,0.04,in,A
2018-03-21 05:21:29,2018-03-21 05:21:46,0.02,in,A
2018-03-21 05:18:16,2018-03-21 05:18:25,0.01,in,A
2018-03-21 05:15:42,2018-03-21 05:15:47,0.01,in,A
2018-03-21 05:13:37,2018-03-21 05:13:46,0.07,in,A
2018-03-21 04:53:34,2018-03-21 04:53:46,0.01,in,A
2018-03-21 04:52:19,2018-03-21 04:52:25,0.01,in,A
2018-03-21 04:50:07,2018-03-21 04:50:25,0.01,in,A
2018-03-21 04:48:40,2018-03-21 04:48:46,0.01,in,A
2018-03-21 04:45:37,2018-03-21 04:45:46,0.01,in,A
2018-03-21 04:43:35,2018-03-21 04:43:46,0.01,in,A
2018-03-21 04:41:52,2018-03-21 04:42:05,0.01,in,A
2018-03-21 04:40:33,2018-03-21 04:40:46,0.01,in,A
2018-03-21 04:39:21,2018-03-21 04:39:26,0.01,in,A
2018-03-21 04:38:23,2018-03-21 04:38:46,0.01,in,A
2018-03-21 04:37:28,2018-03-21 04:37:46,0.01,in,A
2018-03-21 04:35:46,2018-03-21 04:36:06,0.01,in,A
2018-03-21 04:23:38,2018-03-21 04:23:46,0.01,in,A
2018-03-21 04:19:10,2018-03-21 04:19:26,0.01,in,A
2018-03-21 04:16:00,2018-03-21 04:16:06,0.01,in,A
2018-03-21 04:14:04,2018-03-21 04:14:26,0.01,in,A
2018-03-21 04:11:16,2018-03-21 04:11:25,0.01,in,A
2018-03-21 04:09:35,2018-03-21 04:09:46,0.01,in,A
2018-03-21 04:08:11,2018-03-21 04:08:26,0.01,in,A
2018-03-21 04:06:32,2018-03-21 04:06:45,0.01,in,A
2018-03-21 04:04:54,2018-03-21 04:05:06,0.01,in,A
2018-03-21 04:03:09,2018-03-21 04:03:25,0.01,in,A
2018-03-21 03:58:59,2018-03-21 03:59:05,0.01,in,A
2018-03-21 03:49:46,2018-03-21 03:50:05,0.01,in,A
2018-03-21 02:43:14,2018-03-21 02:43:25,0.00,in,A
2018-03-20 21:16:35,2018-03-20 21:16:45,0.02,in,A
2018-03-20 20:53:10,2018-03-20 20:53:25,0.02,in,A
2018-03-20 20:30:32,2018-03-20 20:30:45,0.01,in,A
2018-03-20 20:21:20,2018-03-20 20:21:25,0.01,in,A
2018-03-20 20:03:10,2018-03-20 20:03:26,0.01,in,A
2018-03-20 19:24:03,2018-03-20 19:24:25,0.01,in,A
2018-03-20 19:17:34,2018-03-20 19:17:45,0.01,in,A
2018-03-20 19:11:38,2018-03-20 19:11:45,0.01,in,A
2018-03-20 18:53:38,2018-03-20 18:53:45,0.01,in,A
2018-03-20 18:41:39,2018-03-20 18:41:45,0.01,in,A
2018-03-20 18:36:31,2018-03-20 18:36:45,0.01,in,A
2018-03-20 18:31:33,2018-03-20 18:31:45,0.01,in,A
2018-03-20 18:25:35,2018-03-20 18:25:45,0.01,in,A
2018-03-20 18:20:01,2018-03-20 18:20:05,0.01,in,A
2018-03-20 18:15:15,2018-03-20 18:15:25,0.01,in,A
2018-03-20 18:11:50,2018-03-20 18:12:06,0.01,in,A
2018-03-20 18:05:12,2018-03-20 18:05:25,0.01,in,A
2018-03-20 17:39:51,2018-03-20 17:40:05,0.01,in,A
2018-03-20 17:35:33,2018-03-20 17:35:45,0.01,in,A
2018-03-20 17:30:23,2018-03-20 17:30:45,0.01,in,A
2018-03-20 17:26:11,2018-03-20 17:26:25,0.01,in,A
2018-03-20 17:22:35,2018-03-20 17:22:45,0.01,in,A
2018-03-20 17:15:49,2018-03-20 17:16:06,0.02,in,A
2018-03-20 16:51:51,2018-03-20 16:52:07,0.01,in,A
2018-03-20 16:41:11,2018-03-20 16:41:26,0.01,in,A
2018-03-20 16:36:22,2018-03-20 16:36:25,0.01,in,A
2018-03-20 16:32:07,2018-03-20 16:32:25,0.01,in,A
2018-03-20 16:27:27,2018-03-20 16:27:45,0.01,in,A
2018-03-20 14:43:13,2018-03-20 14:43:25,0.00,in,A
2018-03-20 02:43:12,2018-03-20 02:43:25,0.00,in,A
